订单号,交易流水号,刷卡时间,交易金额(元),线路号,车辆编号,票价(元)
U17A00894201802261729579156,172958169406,2018/2/26 17:29:57,1.00,74,1498,1.00
U17B00676201802261729574326,172958164380,2018/2/26 17:29:57,1.00,36,1482,1.00
U17900076201802261729599224,172959167661,2018/2/26 17:29:59,2.00,36,1640,2.00
U17B00800201802261730006092,172959164773,2018/2/26 17:30:00,1.00,12,1107,1.00
U17A00487201802261730017140,173002169411,2018/2/26 17:30:01,2.00,39,1452,2.00
U17B00563201802261730023480,173003165350,2018/2/26 17:30:02,2.00,32,2114,2.00
U17A01235201802261730043812,173004164959,2018/2/26 17:30:04,1.00,37,2301,1.00
U17B00557201802261730026343,173004165547,2018/2/26 17:30:02,1.00,75,1339,1.00
U17B00838201802261730041746,173005164383,2018/2/26 17:30:04,2.00,59,2079,2.00
U17B00641201802261730042898,173005166887,2018/2/26 17:30:04,2.00,74,1607,2.00
U17B00653201802261730037254,173006169218,2018/2/26 17:30:03,1.00,17,1159,1.00
U17B00712201802261730061996,173006167079,2018/2/26 17:30:06,2.00,4,3018,2.00
U17900731201802261730058524,173007165748,2018/2/26 17:30:05,2.00,39,1449,2.00
U17B00336201802261730064034,173007164776,2018/2/26 17:30:06,1.00,43,915,1.00
U17B00605201802261730070078,173008166328,2018/2/26 17:30:07,0.50,94,2311,1.00
U17B00676201802261730079398,173007168466,2018/2/26 17:30:07,1.00,36,1482,1.00
U17900231201802261730093794,173007168075,2018/2/26 17:30:09,2.00,36,3007,2.00
U17B00240201802261730070036,173009169412,2018/2/26 17:30:07,0.50,22,1221,1.00
U17A00006201802261730069258,173008163785,2018/2/26 17:30:06,2.00,10,1413,2.00
U17B00563201802261730087738,173009165158,2018/2/26 17:30:08,2.00,32,2114,2.00
U17B00641201802261730074023,173009165551,2018/2/26 17:30:07,2.00,74,1607,2.00
U17A00313201802261730090077,173010166329,2018/2/26 17:30:09,1.00,6,1474,2.00
U17A00894201802261730103631,173011163389,2018/2/26 17:30:10,1.00,74,1498,1.00
U17B00612201802261730112204,173011166513,2018/2/26 17:30:11,2.00,27,847,2.00
U17B00641201802261730100728,173011168630,2018/2/26 17:30:10,2.00,74,1607,2.00
U17C00312201802261730126112,173011164386,2018/2/26 17:30:12,2.00,35,3114,2.00
U17C01055201802261730093486,173011165160,2018/2/26 17:30:09,2.00,33,3108,2.00
U17900076201802261730120076,173012169413,2018/2/26 17:30:12,1.00,36,1640,2.00
U17900684201802261730127868,173012164184,2018/2/26 17:30:12,2.00,10,1416,2.00
U17A01243201802261730127338,173012169222,2018/2/26 17:30:12,2.00,6,1478,2.00
U17B00860201802261730125736,173013166698,2018/2/26 17:30:12,1.00,3,763,1.00
U17601018201802261730130073,173013165162,2018/2/26 17:30:13,0.50,7,1349,1.00
U17A00376201802261730115786,173011167289,2018/2/26 17:30:11,2.00,39,1443,2.00
U17B00240201802261730120037,173014166514,2018/2/26 17:30:12,0.50,22,1221,1.00
U17B00821201802261730117280,173013163574,2018/2/26 17:30:11,2.00,69,2443,2.00
U17900192201802261730151108,173014164554,2018/2/26 17:30:15,2.00,10,1419,2.00
U17C01055201802261730125852,173014167082,2018/2/26 17:30:12,2.00,33,3108,2.00
U17A00389201802261730143917,173015168469,2018/2/26 17:30:14,2.00,39,1447,2.00
U17A00487201802261730140104,173015164186,2018/2/26 17:30:14,2.00,39,1452,2.00
U17B00695201802261730156636,173015168633,2018/2/26 17:30:15,2.00,100,1810,2.00
U17601018201802261730170074,173017169015,2018/2/26 17:30:17,1.00,7,1349,1.00
U17B00387201802261730150021,173016163788,2018/2/26 17:30:15,1.00,95,1238,1.00
U17A00376201802261730180930,173017166152,2018/2/26 17:30:18,2.00,39,1443,2.00
U17B00223201802261730157450,173017164778,2018/2/26 17:30:15,2.00,27,844,2.00
U17A00389201802261730170910,173018163792,2018/2/26 17:30:17,2.00,39,1447,2.00
U17B00504201802261730182958,173018166153,2018/2/26 17:30:18,2.00,4,1622,2.00
U17B00743201802261730180067,173019164556,2018/2/26 17:30:18,0.50,46,2286,1.00
U17A00376201802261730214796,173020163394,2018/2/26 17:30:21,2.00,39,1443,2.00
U17C00312201802261730202260,173020164781,2018/2/26 17:30:20,2.00,35,3114,2.00
U17C00535201802261730193478,173020168079,2018/2/26 17:30:19,2.00,11,3074,2.00
U17900640201802261730198104,173021164965,2018/2/26 17:30:19,2.00,10,1417,2.00
U17A00389201802261730205910,173021166155,2018/2/26 17:30:20,2.00,39,1447,2.00
U17B00414201802261730224642,173022164966,2018/2/26 17:30:22,2.00,59,2093,2.00
U17C01055201802261730198128,173021165357,2018/2/26 17:30:19,2.00,33,3108,2.00
U17900438201802261730214010,173023163396,2018/2/26 17:30:21,2.00,1,826,2.00
U17A00389201802261730221484,173023165168,2018/2/26 17:30:22,2.00,39,1447,2.00
U17B00240201802261730212943,173022166894,2018/2/26 17:30:21,1.00,22,1221,1.00
U17900427201802261730218998,173024165169,2018/2/26 17:30:21,2.00,39,1454,2.00
U17B00387201802261730230022,173024164782,2018/2/26 17:30:23,1.00,95,1238,1.00
U17C00535201802261730231322,173024166334,2018/2/26 17:30:23,2.00,11,3074,2.00
U17C00723201802261730247378,173024168082,2018/2/26 17:30:24,2.00,71,3034,2.00
U17A00376201802261730260050,173026168839,2018/2/26 17:30:26,2.00,39,1443,2.00
U17B00734201802261730244818,173025169018,2018/2/26 17:30:24,2.00,66,2408,2.00
U17B00877201802261730252206,173025163795,2018/2/26 17:30:25,1.00,3,760,1.00
U17501037201802261730273714,173025168471,2018/2/26 17:30:27,2.00,59,2080,2.00
U17900731201802261730242658,173026168258,2018/2/26 17:30:24,2.00,39,1449,2.00
U17A00389201802261730255921,173026164191,2018/2/26 17:30:25,2.00,39,1447,2.00
U17A00470201802261730251589,173025167294,2018/2/26 17:30:25,2.00,39,1455,2.00
U17B00240201802261730242090,173026164388,2018/2/26 17:30:24,1.00,22,1221,1.00
