ROUTEID,SUBROUTEID,SINGLEID,DOUBLEID,STATIONNAME,STATIONID,STATIONTYPE,STATIONLONGITUDE,STATIONLATITUDE
91,91001,1,63,金家林,91120212,主站上客站,104.636276,31.521449
91,91001,,,,,,104.636257,31.521671
91,91001,,,,,,104.635581,31.522142
91,91001,,,,,,104.635726,31.522288
91,91001,,,,,,104.638478,31.524927
91,91001,,,,,,104.638644,31.524886
91,91001,2,64,金家林上街,11120372,中间站,104.638728,31.524843
91,91001,,,,,,104.638810,31.524812
91,91001,,,,,,104.639089,31.524680
91,91001,,,,,,104.640505,31.524044
91,91001,,,,,,104.641262,31.523806
91,91001,,,,,,104.642109,31.523619
91,91001,,,,,,104.643214,31.523532
91,91001,,,,,,104.644818,31.523537
91,91001,3,65,涪金路中段,11120362,中间站,104.644978,31.523521
91,91001,,,,,,104.645092,31.523541
91,91001,,,,,,104.646143,31.523546
91,91001,,,,,,104.646149,31.520596
91,91001,,,,,,104.646154,31.518621
91,91001,4,1,二中金家林校区,11120203,中间站,104.646003,31.518483
91,91001,,,,,,104.646154,31.518378
91,91001,,,,,,104.646133,31.515228
91,91001,,,,,,104.646133,31.514944
91,91001,5,2,科技城创新中心,11120202,中间站,104.645906,31.51497
91,91001,,,,,,104.646079,31.514903
91,91001,,,,,,104.646986,31.514432
91,91001,,,,,,104.648498,31.513901
91,91001,,,,,,104.648965,31.513732
91,91001,,,,,,104.649351,31.513536
91,91001,,,,,,104.651492,31.512086
91,91001,,,,,,104.653997,31.510430
91,91001,,,,,,104.654565,31.509927
91,91001,6,3,大包梁,11120192,中间站,104.654651,31.509826
91,91001,,,,,,104.654742,31.509758
91,91001,,,,,,104.655982,31.508546
91,91001,,,,,,104.657682,31.506950
91,91001,,,,,,104.658304,31.506552
91,91001,,,,,,104.659034,31.506245
91,91001,,,,,,104.660617,31.505875
91,91001,,,,,,104.661786,31.505532
91,91001,,,,,,104.663492,31.504873
91,91001,,,,,,104.664007,31.504754
91,91001,,,,,,104.664951,31.504850
91,91001,,,,,,104.665117,31.504887
91,91001,,,,,,104.665257,31.504713
91,91001,7,4,天生桥,10040073,中间站,104.665212,31.504556
91,91001,,,,,,104.665380,31.504530
91,91001,,,,,,104.666104,31.503606
91,91001,,,,,,104.667274,31.502733
91,91001,,,,,,104.668626,31.501914
91,91001,,,,,,104.668266,31.501127
91,91001,,,,,,104.667810,31.499197
91,91001,8,5,九洲西门,11120241,中间站,104.667689,31.499147
91,91001,,,,,,104.667767,31.499001
91,91001,,,,,,104.667676,31.498566
91,91001,,,,,,104.666930,31.495003
91,91001,,,,,,104.667247,31.494134
91,91001,,,,,,104.667424,31.493809
91,91001,9,6,九洲技工学校,11120233,中间站,104.667384,31.493705
91,91001,,,,,,104.667515,31.493663
openstreetmap.html:109 91,91001,,,,,,104.669403,31.490182
openstreetmap.html:109 91,91001,,,,,,104.670509,31.488960
openstreetmap.html:109 91,91001,,,,,,104.673228,31.490735
openstreetmap.html:109 91,91001,,,,,,104.673475,31.491115
91,91001,10,7,八角居民区,11120221,中间站,104.673523,31.491145
91,91001,,,,,,104.673550,31.491238
openstreetmap.html:109 91,91001,,,,,,104.674226,31.492322
openstreetmap.html:109 91,91001,,,,,,104.676087,31.491472
91,91001,11,51,招呼站（91）,11120231,中间站,104.676161,31.491373
91,91001,,,,,,104.676265,31.491375
91,91001,,,,,,104.677702,31.490717
openstreetmap.html:109 91,91001,,,,,,104.677895,31.490570
openstreetmap.html:109 91,91001,,,,,,104.678705,31.491311
openstreetmap.html:109 91,91001,,,,,,104.679269,31.492057
openstreetmap.html:109 91,91001,,,,,,104.679553,31.492597
openstreetmap.html:109 91,91001,,,,,,104.681050,31.491874
openstreetmap.html:109 91,91001,,,,,,104.683008,31.490936
91,91001,12,8,创业大道,30530292,中间站,104.683021,31.490723
91,91001,,,,,,104.683281,31.490808
openstreetmap.html:109 91,91001,,,,,,104.685368,31.489811
openstreetmap.html:109 91,91001,,,,,,104.686832,31.489143
91,91001,13,47,创业大道中段,11120133,中间站,104.686841,31.488903
91,91001,,,,,,104.687106,31.489015
openstreetmap.html:109 91,91001,,,,,,104.688715,31.488269
openstreetmap.html:109 91,91001,,,,,,104.691280,31.487094
openstreetmap.html:109 91,91001,,,,,,104.691972,31.486787
91,91001,14,48,石油公司,11120183,中间站,104.692039,31.486658
91,91001,,,,,,104.692191,31.486682
openstreetmap.html:109 91,91001,,,,,,104.693248,31.486193
openstreetmap.html:109 91,91001,,,,,,104.695271,31.485150
openstreetmap.html:109 91,91001,,,,,,104.696451,31.484303
91,91001,15,11,交警队家属区,30530262,中间站,104.696519,31.484191
91,91001,,,,,,104.696655,31.484148
openstreetmap.html:109 91,91001,,,,,,104.699010,31.482460
openstreetmap.html:109 91,91001,,,,,,104.699321,31.482245
91,91001,16,62,招呼站,11120351,中间站,104.699328,31.482094
91,91001,,,,,,104.699503,31.482089
91,91001,,,,,,104.702631,31.479742
openstreetmap.html:109 91,91001,,,,,,104.703408,31.479056
91,91001,17,52,园艺小学,11120311,中间站,104.703478,31.478946
91,91001,,,,,,104.703575,31.478900
openstreetmap.html:109 91,91001,,,,,,104.706016,31.476759
openstreetmap.html:109 91,91001,,,,,,104.707255,31.475675
openstreetmap.html:109 91,91001,,,,,,104.706616,31.475135
91,91001,18,53,元通村三组,11120321,中间站,104.706504,31.475128
91,91001,,,,,,104.706477,31.475021
openstreetmap.html:109 91,91001,,,,,,104.706160,31.474778
openstreetmap.html:109 91,91001,,,,,,104.705399,31.474293
openstreetmap.html:109 91,91001,,,,,,104.704562,31.474115
openstreetmap.html:109 91,91001,,,,,,104.703827,31.474129
openstreetmap.html:109 91,91001,,,,,,104.703226,31.474284
openstreetmap.html:109 91,91001,,,,,,104.702636,31.474609
openstreetmap.html:109 91,91001,,,,,,104.702529,31.474710
91,91001,19,54,元通村村委会,11120331,中间站,104.702403,31.474706
91,91001,,,,,,104.702389,31.474833
openstreetmap.html:109 91,91001,,,,,,104.701096,31.476096
openstreetmap.html:109 91,91001,,,,,,104.700651,31.477112
91,91001,20,59,元通村,11120341,中间站,104.700551,31.477188
91,91001,,,,,,104.700544,31.477336
openstreetmap.html:109 91,91001,,,,,,104.700104,31.478324
openstreetmap.html:109 91,91001,,,,,,104.699991,31.478283
openstreetmap.html:109 91,91001,,,,,,104.697663,31.477198
openstreetmap.html:109 91,91001,,,,,,104.696757,31.476979
openstreetmap.html:109 91,91001,,,,,,104.694074,31.477276
openstreetmap.html:109 91,91001,,,,,,104.693200,31.475245
openstreetmap.html:109 91,91001,,,,,,104.693087,31.474687
